;sexe;prenom;dpt;nombre;
294;2;MAITANE;64;25;
295;2;AINES;64;25;
296;2;LILAS;64;24;
297;2;SOPHIA;64;24;
298;2;KATTALIN;64;24;
299;2;CALIE;64;24;
300;2;EMELINE;64;24;
301;2;TIANA;64;24;
302;2;SALMA;64;24;
303;2;MALIA;64;23;
304;2;ELYA;64;23;
305;2;TARA;64;23;
306;2;THELMA;64;23;
307;2;LILLY;64;22;
308;2;INAIA;64;22;
309;2;PIA;64;22;
310;2;CASSANDRE;64;22;
311;2;BILLIE;64;22;
312;2;EZTITXU;64;22;1
313;2;DEBORAH;64;22;
314;2;NAELLE;64;22;
315;2;SAIOA;64;22;
316;2;OIHANE;64;21;1
317;2;SELENA;64;21;
318;2;ALYCIA;64;21;
319;2;MADDY;64;21;
320;2;MADELEINE;64;21;
321;2;LOUANNE;64;21;
322;2;OPHELIE;64;21;
323;2;BLANCHE;64;20;
324;2;REBECCA;64;20;
325;2;AURIANE;64;20;
326;2;LAURIANE;64;20;
327;2;TATIANA;64;20;
328;2;MAUD;64;20;
329;2;NOLA;64;20;
330;2;MAILEN;64;19;1
331;2;KAMILA;64;19;
332;2;EMIE;64;19;
333;2;LINE;64;19;
334;2;MARYAM;64;19;
335;2;JASMINE;64;19;
336;2;HELENE;64;19;
337;2;BERENICE;64;19;
338;2;ANISSA;64;18;
339;2;ILANA;64;18;
340;2;EVE;64;18;
341;2;ANGELE;64;18;
342;2;MILLA;64;18;
343;2;PANTXIKA;64;18;
344;2;JUDITH;64;18;
345;2;VANESSA;64;18;
346;2;SONIA;64;17;
347;2;TANIA;64;17;
348;2;MELODIE;64;17;
349;2;TAMARA;64;17;
350;2;AUGUSTINE;64;17;
351;2;HANNAH;64;17;
352;2;OYANA;64;17;
353;2;LORE;64;17;1
354;2;MAISSA;64;16;
355;2;ALIYA;64;16;
356;2;CASSIE;64;16;
357;2;MANEL;64;16;
358;2;FIONA;64;16;
359;2;DORIANE;64;15;
360;2;WENDY;64;15;
361;2;ISAURE;64;15;
362;2;BLANDINE;64;15;
363;2;LUCE;64;15;
364;2;LOAN;64;15;
365;2;YAELLE;64;15;
366;2;ALANA;64;15;
367;2;DAPHNE;64;15;
368;2;DELPHINE;64;15;
369;2;LIANA;64;14;
370;2;CECILIA;64;14;
371;2;LYDIE;64;14;
372;2;TINA;64;14;
373;2;ANNE;64;14;
374;2;ARGITXU;64;14;
375;2;MELODY;64;14;
376;2;KATTIN;64;14;
377;2;EULALIE;64;14;
378;2;JENNIFER;64;14;
379;2;MIKELA;64;14;1
380;2;KAYLA;64;14;
381;2;CINDY;64;14;
382;2;ELOANE;64;14;
383;2;SANDRA;64;14;
384;2;NELL;64;14;
385;2;ESTHER;64;14;
386;2;LORIE;64;13;
387;2;CELESTINE;64;13;
388;2;KATIXA;64;13;1
389;2;MONA;64;13;
390;2;UXUE;64;13;
391;2;XANE;64;13;
392;2;ELORA;64;13;
393;2;MELINDA;64;13;
394;2;FLORIANE;64;13;
395;2;LEINA;64;13;1
396;2;ARYA;64;13;
397;2;LUCILLE;64;13;
398;2;AMY;64;13;
399;2;GABRIELA;64;12;
400;2;ELINE;64;12;
401;2;MARIANNE;64;12;
402;2;NOELIA;64;12;
403;2;ALIYAH;64;12;
404;2;ANASTASIA;64;12;
405;2;ANOUCK;64;12;
406;2;MATHILDA;64;12;
407;2;NAYLA;64;12;
408;2;AURELIA;64;12;
409;2;MARIE-LOU;64;12;
410;2;OLYMPE;64;11;
411;2;NOOR;64;11;
412;2;NOLWENN;64;11;
413;2;ISABELLE;64;11;
414;2;ESTITXU;64;11;1
415;2;KELIA;64;11;
416;2;LEYNA;64;11;
417;2;CLAUDIA;64;11;
418;2;CATALEYA;64;11;
419;2;ANGELIQUE;64;11;
420;2;MAELYA;64;11;
421;2;NAOMY;64;11;
422;2;JULIANA;64;11;
423;2;MAELY;64;10;
424;2;LESLIE;64;10;
425;2;LEONOR;64;10;
426;2;ADELINE;64;10;
427;2;SOLENN;64;10;
428;2;FLEUR;64;10;
429;2;ESMEE;64;10;
430;2;AMIRA;64;10;
431;2;ASHLEY;64;10;
432;2;LUXI;64;10;
433;2;MAYANA;64;10;
434;2;PAULA;64;10;
435;2;HANNA;64;10;
436;2;CAMELIA;64;10;
437;2;ROXANNE;64;10;
438;2;MADDIE;64;10;
439;2;MAELINE;64;10;
440;2;ILIANA;64;10;
441;2;MARJORIE;64;10;
442;2;LOIS;64;10;
443;2;MALAK;64;10;
444;2;ALINE;64;10;
445;2;SACHA;64;10;
446;2;ILUNA;64;10;
447;2;MAELIA;64;10;
448;2;ANAYA;64;9;
449;2;ANITA;64;9;
450;2;MINA;64;9;
451;2;ANAIA;64;9;
452;2;ALYSSIA;64;9;
453;2;MAXINE;64;9;
454;2;MIYA;64;9;
455;2;TEA;64;9;
456;2;GWENAELLE;64;9;
457;2;SHAINA;64;9;
458;2;KELYA;64;9;
459;2;CHARLIZE;64;9;
460;2;LIYA;64;9;
461;2;SHAYNA;64;9;
462;2;ELYNA;64;9;
463;2;SELENE;64;9;
464;2;ARIANE;64;9;
465;2;GAIA;64;9;
466;2;TAINA;64;9;
467;2;OHIANA;64;9;
468;2;JOANE;64;9;
469;2;CLOTHILDE;64;9;
470;2;ROSALIE;64;9;
471;2;ORANE;64;9;
472;2;CASSY;64;8;
473;2;NAWEL;64;8;
474;2;ALIENOR;64;8;
475;2;MARWA;64;8;
476;2;CHEYENNE;64;8;
477;2;MAUREEN;64;8;
478;2;LILYA;64;8;
479;2;AYANA;64;8;
480;2;LYSE;64;8;
481;2;ANNAELLE;64;8;
482;2;LYLA;64;8;
483;2;FLORINE;64;8;
484;2;JENNA;64;8;
485;2;MALYA;64;7;
486;2;CYRIELLE;64;7;
487;2;MALORIE;64;7;
488;2;KASSANDRA;64;7;
489;2;NADEGE;64;7;
490;2;ALYSON;64;7;
491;2;DOMITILLE;64;7;
492;2;SAMIA;64;7;
493;2;ISIS;64;7;
494;2;NAIS;64;7;
495;2;ELIZA;64;7;
496;2;MYLENE;64;7;
497;2;ELYNE;64;7;
498;2;EMILY;64;7;
499;2;EMMANUELLE;64;7;
500;2;ERIKA;64;7;
501;2;NEYLA;64;7;
502;2;LUISA;64;7;1
503;2;LILI-ROSE;64;7;
504;2;KIMA;64;7;
505;2;MAGALI;64;7;
506;2;PHILIPPINE;64;7;
507;2;CHAIMA;64;7;
508;2;RANIA;64;7;
509;2;LEYLA;64;7;
510;2;ANNABELLE;64;7;
511;2;CAMILA;64;7;
512;2;BIANCA;64;7;
513;2;LIV;64;7;
514;2;AMINA;64;7;
515;2;AMEL;64;7;
516;2;AMANE;64;7;
517;2;VIRGINIE;64;7;
518;2;SIXTINE;64;6;
519;2;STEPHANIE;64;6;
520;2;MADISON;64;6;
521;2;OIANA;64;6;
522;2;SIBYLLE;64;6;
523;2;ALIA;64;6;
524;2;YONA;64;6;
525;2;LORINE;64;6;
526;2;SIDONIE;64;6;
527;2;ATHENA;64;6;
528;2;AINA;64;6;
529;2;ATHENAIS;64;6;
530;2;LYDIA;64;6;
531;2;HIBA;64;6;
532;2;ZIA;64;6;
533;2;EMMIE;64;6;
534;2;ADRIANA;64;6;
535;2;ASSYA;64;6;
536;2;ENARA;64;6;
537;2;FATIMA;64;6;
538;2;MIRA;64;6;
539;2;ARWEN;64;6;
540;2;MIRENTXU;64;6;
541;2;MAELA;64;6;
542;2;CALISTA;64;6;
543;2;SEVERINE;64;6;
544;2;KYARA;64;6;
545;2;NATACHA;64;6;
546;2;SAKURA;64;6;
547;2;SANA;64;6;
548;2;CALI;64;6;
549;2;ANGELA;64;6;
550;2;DOUNIA;64;6;
551;2;SANDY;64;6;
552;2;IRATI;64;6;
553;2;LAURYNE;64;6;
554;2;ILYANA;64;6;
555;2;LEELOU;64;6;
556;2;SAVANNAH;64;6;
557;2;RITA;64;6;
558;2;RUBY;64;6;
559;2;IHINTZA;64;6;
560;2;CLELIA;64;6;
561;2;CLOTILDE;64;6;
562;2;MANUELA;64;6;
563;2;DORINE;64;5;
564;2;MAHAUT;64;5;
565;2;YASMINA;64;5;
566;2;MARLENE;64;5;
567;2;ORIANA;64;5;
568;2;ZITA;64;4;
569;2;MORGAN;64;4;
570;2;NELIA;64;4;
571;2;RITAJ;64;4;
572;2;ROMIE;64;4;1
573;2;LAURY;64;4;
574;2;HANA;64;4;
575;2;ARANTXA;64;4;
576;2;LEONORE;64;4;
577;2;LAYA;64;4;
578;2;LILWENN;64;4;
579;2;ELAURA;64;4;1
580;2;FLORE;64;4;
581;2;DONIA;64;4;
582;2;DINA;64;4;
583;2;LOUANN;64;4;
584;2;MAENA;64;4;
585;2;CATALINA;64;4;
586;2;MAHINA;64;4;
587;2;CASTILLE;64;4;
588;2;MAILY;64;4;
589;2;HILONA;64;4;
590;2;LEIANE;64;4;
591;2;KATALEYA;64;4;
592;2;ILOUNA;64;4;
593;2;INGRID;64;4;
594;2;AINOA;64;4;1
595;2;ALISON;64;4;
596;2;ALLY;64;4;
597;2;ALYAH;64;4;
598;2;AMANDA;64;4;
599;2;ANGELINE;64;4;
600;2;ISIA;64;3;
601;2;FARAH;64;3;
