;sexe;prenom;nombre;vote
727;2;YANELI;11;
728;2;ANGIE;11;
729;2;MARIA JESUS;11;
730;2;ELIXABETE;11;
731;2;ITZEA;11;
732;2;MAIRI;11;
733;2;RITA;10;
734;2;IHART;10;
735;2;ALBA MARIA;10;
736;2;AURKENE;10;
737;2;LAIATZ;10;
738;2;AROHA;10;
739;2;ANNETTE;10;
740;2;MATILDA;10;
741;2;ALEXA;10;
742;2;XIMENA;10;
743;2;JANIS;10;
744;2;OMAYMA;10;
745;2;GIULIA;10;1
746;2;TERESE;10;
747;2;AHLAM;10;
748;2;AGURTZANE;10;
749;2;AINERE;10;
750;2;AINHITZ;10;
751;2;IVET;10;
752;2;NEIA;10;
753;2;ENARE;10;
754;2;SIARA;10;
755;2;ZIARA;10;
756;2;MARIA ELENA;10;
757;2;ANA SOFIA;10;
758;2;AMY;10;
759;2;LEYLA;9;
760;2;ALONA;9;
761;2;AILEN;9;
762;2;EGUZKINE;9;
763;2;DENISE;9;
764;2;MERIAM;9;
765;2;JENIFER;9;
766;2;SOIARTZE;9;
767;2;JOANNA;9;
768;2;AWA;9;
769;2;BATIRTZE;9;
770;2;ADELE;9;
771;2;SUE;8;
772;2;HAYDEE;8;
773;2;ALESSANDRA;8;
774;2;SAMIA;8;
775;2;DEBA;8;
776;2;MARIAN;8;
777;2;IRAIDA;8;
778;2;HIRUNE;8;
779;2;ELORA;8;
780;2;EKHIA;8;
781;2;YOANA;8;
782;2;ANOUK;8;
783;2;MARIA BELEN;8;
784;2;DOUAA;8;
785;2;ANET;8;
786;2;IZAGA;8;
787;2;BIHOTZA;8;
788;2;SABRIN;8;
789;2;MELANY;8;
790;2;SHAKIRA;8;
791;2;LIBERTAD;8;
792;2;SOL;8;
793;2;ZINEB;8;
794;2;LAYLA;7;1
795;2;SOFIA ELENA;7;
796;2;RUT;7;
797;2;GLORIA;7;
798;2;KALA;7;
799;2;SAIDA;7;
800;2;SALWA;7;
801;2;SARA MARIA;7;
802;2;GURE;7;
803;2;SHAMIRA;7;
804;2;RANYA;7;
805;2;SHIARA;7;
806;2;ANA BELEN;7;
807;2;HODEIA;7;
808;2;REGINA;7;
809;2;ERICA;7;
810;2;MAYI;7;
811;2;LUJAN;7;
812;2;MERYEM;7;
813;2;MARIE;7;
814;2;ERKUDEN;7;
815;2;NINA;7;
816;2;ESTER;7;
817;2;YASHIRA;7;
818;2;CHARLOTTE;7;
819;2;USUE;7;
820;2;LYA;7;
821;2;BEREZI;7;
822;2;IRAMA;7;
823;2;LEIANE;7;
824;2;MIAH;7;
825;2;ARIMA;7;
826;2;MAORE;7;
827;2;OSANE;7;
828;2;MARGOT;6;
829;2;NASIRA;6;
830;2;EILEEN;6;
831;2;MARIA BEGONA;6;
832;2;YOSRA;6;
833;2;CARMELA;6;
834;2;MILANA;6;
835;2;SHANIA;6;
836;2;MAYTE;6;
837;2;MIREN BEGONA;6;
838;2;SHEYLA;6;
839;2;CASILDA;6;
840;2;MATIXA;6;
841;2;ELI;6;
842;2;AINHARA;6;
843;2;DEBORA;6;
844;2;DALIA;6;
845;2;HABIBA;6;
846;2;CLARA MARIA;6;
847;2;MIREN JOSUNE;6;
848;2;SHELLEY;6;
849;2;ARACELI;6;
850;2;OHIANA;6;
851;2;IRIDE;6;
852;2;JAQUELINE;6;
853;2;YAIRA;6;
854;2;RIHAM;6;
855;2;FIRDAWS;6;
856;2;MARIA LUCIA;6;
857;2;ROSA MARIA;6;
858;2;ROSARIO;6;
859;2;GENEVA;6;
860;2;LETIZIA;6;
861;2;ASIL;6;
862;2;OLARIZU;6;
863;2;ASMAE;6;
864;2;GETARI;6;
865;2;JOSEBE;6;
866;2;ASSIA;6;
867;2;IRUNA;6;
868;2;LLUNA;6;
869;2;ATHENEA;6;2
870;2;ATSEGINE;6;
871;2;LOIOLA;6;
872;2;ESTIBALITZ;6;
873;2;MARIAMA;6;
874;2;YASSMIN;6;
875;2;ENMA;6;
876;2;NAYADE;6;
