Nº;Nombre;Total;Por mil (‰)
563;OIARTZA;  5;0,105
564;PAULA MARIA;  5;0,105
565;RITA;  5;0,105
566;SAFIRA;  5;0,105
567;SAROA;  5;0,105
568;SIARA;  5;0,105
569;SOLEDAD;  5;0,105
570;VEGA;  5;0,105
571;VIOLETA;  5;0,105
572;YANAY;  5;0,105
573;ZIARA;  5;0,105
574;ZORIONE;  5;0,105
;;;
