Nº;Nombre;Total;Por mil (‰)
332;PAU;  8;0,157
333;PAULO;  8;0,157
334;ROKE;  8;0,157
335;UZTARITZ;  8;0,157
336;ADIRAN;  7;0,137
337;AHMED;  7;0,137
338;ASEL;  7;0,137
339;AXULAR;  7;0,137
340;AYOUB;  7;0,137
341;CHRISTOPHER;  7;0,137
342;ELEAZAR;  7;0,137
343;ELIER;  7;0,137
344;ELOI;  7;0,137
345;ELOY;  7;0,137
346;ESTEBAN;  7;0,137
347;GABIREL;  7;0,137
348;HARITZA;  7;0,137
349;IAGO;  7;0,137
350;IBRAHIM;  7;0,137
351;IOSU;  7;0,137
352;ISAIAS;  7;0,137
353;IXAI;  7;0,137
354;JOHN ANDER;  7;0,137
355;JON JOSEBA;  7;0,137
356;NOE;  7;0,137
357;ORKATZ;  7;0,137
358;POL;  7;0,137
359;TRISTAN;  7;0,137
360;UGUTZ;  7;0,137
361;AGUSTIN;  6;0,118
362;ALAI;  6;0,118
363;ALEIX;  6;0,118
364;ALFREDO;  6;0,118
365;ALI;  6;0,118
366;ANJE;  6;0,118
367;ARGOITZ;  6;0,118
368;AURITZ;  6;0,118
369;BRANDON;  6;0,118
370;CARMELO;  6;0,118
371;DEREK;  6;0,118
372;EIHAR;  6;0,118
373;ENZO;  6;0,118
374;ESTANISLAO;  6;0,118
375;EUKENI;  6;0,118
376;FABIAN;  6;0,118
377;FABIO;  6;0,118
378;GILEN;  6;0,118
379;HASIER;  6;0,118
380;INDAR;  6;0,118
381;IRKUS;  6;0,118
382;JANITZ;  6;0,118
383;JON IÑAKI;  6;0,118
384;JON KEPA;  6;0,118
385;JOSE IGNACIO;  6;0,118
386;JOSE JAVIER;  6;0,118
387;JUAN ANDRES;  6;0,118
388;KENNETH;  6;0,118
389;KILIAN;  6;0,118
390;LEONARDO;  6;0,118
391;MARIANO;  6;0,118
392;MARKOS;  6;0,118
393;MIKEL ANDONI;  6;0,118
394;NOEL;  6;0,118
395;OIHER;  6;0,118
396;OUSSAMA;  6;0,118
397;PELAYO;  6;0,118
398;RICHARD;  6;0,118
399;SALVADOR;  6;0,118
400;UHAITZ;  6;0,118
401;URTATS;  6;0,118
402;XANET;  6;0,118
403;YOUNES;  6;0,118
404;ADONAI;  5;0,098
405;ADRIEL;  5;0,098
406;AIMAN;  5;0,098
407;AKRAM;  5;0,098
408;ALEJO;  5;0,098
409;ALLUITZ;  5;0,098
410;ALONSO;  5;0,098
411;AZIBAR;  5;0,098
412;BIKENDI;  5;0,098
413;BILAL;  5;0,098
414;EDUR;  5;0,098
415;EGOI;  5;0,098
416;EIDAN;  5;0,098
417;ENEKOITZ;  5;0,098
418;EVAN;  5;0,098
419;FERMIN;  5;0,098
420;FRANCISCO ASIS;  5;0,098
421;GENTZA;  5;0,098
422;GERARD;  5;0,098
423;GIOVANNI;  5;0,098
424;HEIKO;  5;0,098
425;HEREN;  5;0,098
426;IKER JAVIER;  5;0,098
427;IREBER;  5;0,098
