;prenom;nombre
429;PELAYO;25
430;IURGI;25
431;ZIYAD;24
432;AIMAN;24
433;YASSIR;24
434;NAIM;24
435;SAMIR;24
436;YAEL;24
437;COSME;24
438;ERLAITZ;24
439;GERARD;24
440;JOSE RAMON;23
441;ARAY;23
442;GENTZA;23
443;MAXIMO;23
444;OSKITZ;23
445;NACHO;23
446;AGUSTIN;23
447;AKIER;23
448;MOISES;23
449;INDAR;23
450;FABIO;22
451;JURDAN;22
452;THEO;22
453;ARON;22
454;XANTI;22
455;MAIU;22
456;ASIS;22
457;ISHAK;21
458;KRISTIAN;21
459;ALLUITZ;21
460;HAIZE;21
461;UDAI;21
462;ARAI;21
463;IXAI;21
464;SUSTRAI;21
465;MATHIAS;21
466;YOUSEF;21
467;MOHAMED AMINE;21
468;FELIPE;21
469;OUSSAMA;21
470;EDUR;20
471;VALENTIN;20
472;JOAR;20
473;YUSEF;20
474;JONAY;20
475;DANI;20
476;AIDEN;20
477;MOUHAMED;20
478;ANIR;20
479;DENNIS;19
480;INAZIO;19
481;ACHRAF;19
482;WASIM;19
483;ORKATZ;19
484;MOUSSA;19
485;NOE;19
486;XOEL;19
487;SAID;18
488;BADR;18
489;ALEJO;18
490;ARITZA;18
491;ANAI;18
492;ENAR;17
493;ORHI;17
494;OIHER;17
495;ANOUAR;17
496;MANU;17
497;ZEIAN;17
498;ION ANDER;17
499;SALIM;17
500;JORDAN;17
501;ITOITZ;17
502;AIEKO;17
503;GILLEN;17
504;TIRSO;17
505;GANEKO;17
506;KELIAN;17
507;ILLAN;16
508;VICENTE;16
509;ROQUE;16
510;ARNAU;16
511;NAEL;16
512;ADNAN;16
513;GARTZEN;16
514;ILLART;16
515;ENOL;16
516;JUAN DIEGO;15
517;BIKENDI;15
518;KOLDOBIKA;15
519;LEON;15
520;JUAN BOSCO;15
521;ARNAITZ;15
522;BASTIAN;15
523;MIKEL AINGERU;15
524;HUR;15
525;ANUK;15
526;URAITZ;15
527;ADONAY;15
528;ANDIMA;15
529;URTATS;15
530;ANGE;14
531;ALESSANDRO;14
532;IGARKI;14
533;ARIEL;14
534;NADIR;14
535;ISAIAS;14
536;SOHAIB;14
537;ELIER;14
538;IAKES;14
539;BERNAT;14
540;ABDERRAHMAN;14
541;WASSIM;14
542;ADONAI;14
543;TELLO;14
544;MATEI;13
545;ASEL;13
546;SALVADOR;13
547;MOHAMED ALI;13
548;NAHUEL;13
549;JAYDEN;13
550;LORENZO;13
551;HASIER;13
552;ARGOITZ;13
553;ANASS;13
554;ABDELLAH;13
555;IRKUS;12
556;XAN;12
557;OSAMA;12
558;JOSE ANGEL;12
559;ADRIEL;12
560;FABIAN;12
561;JON IMANOL;12
562;ELOI;12
563;JOSEBA ANDONI;12
564;STEVEN;12
565;TAHA;12
566;LIAN;12
567;NASSIM;12
568;CLAUDIO;12
569;IURI;12
570;BRANDON;12
571;YON;12
572;ADIRAN;12
573;BRAHIM;12
574;UNATZ;12
575;YASER;11
576;JUAN IGNACIO;11
577;CAYETANO;11
578;CARLOS JAVIER;11
579;JONAN;11
580;AIRAM;11
581;YANIS;11
582;JUAN ANDRES;11
583;MARIANO;11
584;YASIR;11
585;XIAN;11
586;ROMEO;11
587;LUIS FERNANDO;11
588;ABDULLAH;11
589;KENNETH;11
590;RIYAD;11
591;SUGAR;11
592;RICHARD;11
593;ISLAM;11
594;HEREN;11
595;ARIAN;10
596;IZAR;10
597;ARAITZ;10
598;LAIN;10
599;IREBER;10
600;ALESANDER;10
601;PATRICK;10
602;BELATZ;10
603;GIOVANNI;10
604;XEBER;10
605;MAHER;10
606;GARAI;9
607;ERNESTO;9
608;MAROUAN;9
609;DANTE;9
610;XAVI;9
611;UZTARITZ;8
612;WILLIAM;8
613;XIMUN;8
614;ULISES;8
615;OWEN;8
616;YEREMI;8
617;ZUNBELTZ;8
618;IMAD;8
619;ERIZ;8
620;JESUS MARIA;8
621;ISAI;8
622;MATTHEW;8
623;MEHDI;8
624;KARLOS;8
625;MIKELATS;8
626;FALLOU;8
627;GUSTAVO;8
628;AYAN;8
629;AITZ;8
630;DILAN;8
631;ELEAZAR;7
632;IBRAHIMA;7
633;JON JOSEBA;7
634;SALMAN;7
635;JOHN ANDER;7
636;ABDOULAYE;7
637;SOUFIAN;7
638;IZORTZ;7
639;ADI;7
640;IREN;7
641;IMRANE;7
642;AHMAD;7
643;HERNAN;7
644;AIHEN;7
645;HAYTAM;7
646;HARITZA;7
647;UGUTZ;7
648;GABIREL;7
649;FERMIN JAVIER;7
650;URRITZ;7
651;AYMEN;7
652;JUAN LUIS;7
653;NIL;7
654;MANASES;7
655;KYLIAN;7
656;PABLO JAVIER;7
657;NABAR;7
