;sexe;prenom;index;nombre
364;2;EKIA;27003;56
365;2;ASHLEY;19173;56
366;2;JUNCAL;25772;56
367;2;MATXALEN;5101;56
368;2;RIM;24886;56
369;2;AMETSA;15195;56
370;2;FATIMA ZAHRA;23580;55
371;2;INDIA;25067;55
372;2;ANI;12951;55
373;2;UMA;22891;55
374;2;ARANTZA;16825;55
375;2;ITZEL;19807;55
376;2;LEIA;15773;55
377;2;TATIANA;19172;55
378;2;JUDIT;23819;54
379;2;GOIZEDER;25666;54
380;2;DANA;30605;53
381;2;AYELEN;15078;53
382;2;NAYELI;19206;53
383;2;HAJAR;20412;53
384;2;VIRGINIA;16501;52
385;2;LENA;21617;52
386;2;MERCEDES;23973;51
387;2;JUGATX;9734;51
388;2;GRETA;16932;51
389;2;AIZA;6312;51
390;2;DAMARIS;25934;50
391;2;XUHARE;21899;50
392;2;ALDARA;25972;50
393;2;INDIRA;11502;50
394;2;ANNA;28866;50
395;2;OLGA;24000;50
396;2;LETICIA;20979;49
397;2;OSKIA;13613;49
398;2;LUA;30835;49
399;2;IRACHE;13720;49
400;2;GORETTI;18995;49
401;2;GADEA;18138;48
402;2;UXURI;20603;48
403;2;THALIA;21076;48
404;2;AIA;15881;48
405;2;IERA;15160;47
406;2;ARRIETA;11640;47
407;2;DEIANE;11280;47
408;2;YERA;15183;47
409;2;ANTIA;19390;46
410;2;VANESA;20484;45
411;2;ESTEFANIA;19854;45
412;2;NARE;19895;45
413;2;MARENE;9758;44
414;2;VIOLETA;25058;44
415;2;IZARNE;29560;44
416;2;DINA;17141;44
417;2;IBANE;15204;43
418;2;IDAIRA;26232;43
419;2;ARANTXA;18180;43
420;2;AMELIA;12709;43
421;2;JANA;19511;42
422;2;SAFAA;23951;42
423;2;TAMARA;22051;42
424;2;YASMINE;20655;42
425;2;PALOMA;18298;42
426;2;ARIXEN;6400;42
427;2;ELORRI;13146;42
428;2;JASONE;12982;41
429;2;AYLA;21222;41
430;2;DEIENE;5178;41
431;2;EUGENIA;19392;41
432;2;MAI;17162;41
433;2;MARIA CRISTINA;20730;41
434;2;NAOMI;22923;41
435;2;IDURRE;15874;41
436;2;IKERNE;9814;41
437;2;MICAELA;22591;41
438;2;CAMILA;19244;41
439;2;MAULE;12292;40
440;2;MARIA TERESA;20593;40
441;2;SIRA;18426;40
442;2;LUZIA;16363;40
443;2;EZTIZEN;5238;40
444;2;AINITZE;23741;40
445;2;SOPHIA;17218;39
446;2;MARIA ISABEL;15839;39
447;2;ABIGAIL;18227;39
448;2;ANITZ;13071;39
449;2;HAFSA;20461;38
450;2;ELIZABETH;12972;38
451;2;IANIRE;23894;38
452;2;IZARBE;19642;38
453;2;AYLEN;17293;38
454;2;NUR;17318;38
455;2;MAIKA;19374;38
456;2;ANTONELLA;15545;38
457;2;DESIRE;16479;38
458;2;NAYLA;24491;37
459;2;AURORA;19321;37
460;2;EVELYN;18413;36
461;2;IZARE;14554;36
462;2;LEILA;22111;36
463;2;ARIA;16040;36
464;2;IZARGI;13123;36
465;2;KRISTINA;26239;36
466;2;ZEIANE;6587;36
467;2;EURI;13065;35
468;2;OHIANE;16475;35
469;2;ARIANNA;27470;35
470;2;NINBE;15435;35
471;2;MADALEN;9843;35
472;2;ADA;17246;35
473;2;ELBA;18661;35
474;2;ARYA;9629;34
475;2;MIKAELA;22740;34
476;2;DAYANA;19443;34
477;2;SIRATS;5206;34
478;2;NIRA;17385;34
479;2;MARIA PILAR;13694;34
480;2;ZELAI;5210;34
481;2;HIART;15463;33
482;2;HIDAYA;11743;33
483;2;MELANIE;17532;33
484;2;KEYLA;17377;33
485;2;MAITENA;19567;33
486;2;ALAA;17283;33
487;2;KATRIN;27539;33
488;2;ESTRELLA;22790;32
489;2;MARYAM;11783;32
490;2;YOUSRA;17428;32
491;2;JANET;16523;32
492;2;LEIXURI;5356;32
493;2;AMAGOIA;13565;32
494;2;MAIANE;15498;32
495;2;AIZENE;5370;32
496;2;KATIA;24395;31
497;2;USUNE;5815;31
498;2;AIZANE;5229;31
499;2;MIRIAN;13129;31
500;2;YOMARA;12945;31
501;2;RAKEL;13045;31
502;2;NOOR;22863;31
503;2;DANAE;16836;31
504;2;BIANCA;24058;31
505;2;ZAINAB;17475;31
506;2;KHLOE;16312;30
507;2;KARLE;10850;30
508;2;ISMENE;5407;30
509;2;IZEIA;16288;30
510;2;NAHIARA;19412;30
511;2;ZUBEROA;19664;29
512;2;EIRA;8495;29
513;2;ANASTASIA;18474;29
514;2;SALOME;18584;29
515;2;NORAH;16288;29
516;2;ADHARA;10789;29
517;2;NAILA;16264;29
518;2;SELENA;17958;28
519;2;ROSA;13081;28
520;2;MIRANDA;19664;28
521;2;AGUEDA;11908;28
522;2;EDITH;17307;28
523;2;VANESSA;16109;28
524;2;KAWTAR;15017;27
525;2;MARIA JOSE;14004;27
526;2;DUNIXE;9943;27
527;2;XENIA;16762;27
528;2;AINHITZE;17335;27
529;2;RITAJ;13992;27
530;2;MARIA ANGELES;12063;27
531;2;MELODY;18731;27
532;2;LUISA;11986;27
533;2;ALANA;10848;27
534;2;ZUHARA;9752;27
535;2;EMILY;16181;27
536;2;ESTITXU;13195;26
537;2;SABRINA;17322;26
538;2;YADIRA;5340;26
539;2;JADE;16283;26
540;2;ZAHIRA;9114;26
541;2;AINA;16221;26
542;2;MANAL;23020;26
543;2;AIZEA;5864;26
544;2;INDARA;18695;26
545;2;JULIETA;10775;26
546;2;DANELE;10940;26
547;2;WIAM;12692;26
548;2;OLAITZ;6680;25
549;2;DELIA;16086;25
550;2;MARE;8649;25
551;2;ELISABET;13161;25
552;2;THAIS;11014;25
553;2;ELVIRA;8480;25
554;2;DUNA;21027;25
555;2;CYNTHIA;1978;24
556;2;YURENA;13201;24
557;2;LUANA;13812;24
558;2;LEAH;16316;24
559;2;YOLANDA;13195;24
560;2;XIOMARA;6045;24
561;2;AINES;13281;24
562;2;AMALE;10922;24
563;2;ANARI;13357;24
564;2;IKRAM;14368;24
565;2;AMALIA;19363;24
566;2;SAYOA;13798;24
567;2;UXUNE;13321;24
568;2;OLAYA;17453;23
569;2;NAIKE;12177;23
570;2;SARAYMA;10724;23
571;2;MAYRA;20831;23
572;2;IOSUNE;13822;23
573;2;LUKENE;5366;23
574;2;TALIA;16266;23
575;2;ISRAE;16329;23
576;2;ADELA;19807;23
577;2;JACQUELINE;8494;23
578;2;MELISSA;18918;22
579;2;IRAITZ;6532;22
580;2;SHAILA;13186;22
581;2;IARE;8732;22
582;2;IHARA;10097;22
583;2;LILI;9826;22
584;2;KIMA;16442;22
585;2;ONA;16395;22
586;2;ALAE;14034;22
587;2;ALMIKE;5485;22
588;2;MANAR;10036;21
589;2;MERIEM;8447;21
590;2;MACARENA;13919;21
591;2;ITZAL;11111;21
592;2;CORAIMA;16373;21
593;2;LOURDES;21054;21
594;2;ZAIDA;8546;21
595;2;ISABELA;12143;21
596;2;ARLET;16359;21
597;2;IKHLAS;10853;21
598;2;ARANTZAZU;6551;20
599;2;XUBANE;17594;20
600;2;IMANE;15160;20
601;2;BARBARA;14218;20
602;2;SUHAILA;10789;20
603;2;HAIZE;8684;20
604;2;NOHA;10058;20
605;2;DANNA;12064;20
606;2;SIMONE;8697;20
607;2;KAIA;11043;20
608;2;MINERVA;14021;19
609;2;DUNIA;13185;19
610;2;IZEL;10087;19
611;2;MARIA VICTORIA;8582;19
612;2;MELANI;10790;19
613;2;AKANE;8707;19
614;2;ALLENDE;10156;19
615;2;MYRIAM;10906;19
616;2;INGRID;6786;19
617;2;ILUNE;11193;19
618;2;MIRENE;10262;19
619;2;LOHIZUNE;5507;19
620;2;CHIARA;16476;19
621;2;MARAM;16576;18
622;2;SOPHIE;16616;18
623;2;AÑES;12264;18
624;2;JOAR;11212;18
625;2;NAYARA;13908;18
626;2;MAIXA;10280;18
627;2;ORIANA;10819;18
628;2;USOA;12083;18
629;2;ZOIHARTZE;5505;18
630;2;IZARRA;5520;18
631;2;NOR;12888;17
632;2;SAFA;10857;17
633;2;YASIRA;5595;17
634;2;SAFAE;10935;17
635;2;ARGIÑE;5522;17
636;2;ITXARO;6643;17
637;2;GOIZARGI;6878;17
638;2;KELTSE;5564;17
639;2;SOFIA MARIA;10929;17
640;2;KARMELE;6628;17
641;2;ESMERALDA;6869;17
642;2;AFNAN;12216;16
643;2;RUBI;5591;16
644;2;AUNITZ;4451;16
645;2;YUNE;13670;16
646;2;ANAHI;5528;16
647;2;RAZAN;12922;16
648;2;JANNAT;10871;16
649;2;ELEN;8813;16
650;2;GURUTZE;6660;16
651;2;KLARA;13634;16
652;2;ILLARI;16625;16
653;2;FARAH;8557;16
654;2;MIREN AMETS;5585;15
655;2;BAYAN;12903;15
656;2;KLOE;5278;15
657;2;ANETTE;5273;15
658;2;HOUDA;13975;15
659;2;SAMANTHA;10944;15
660;2;ENEIDA;6732;15
661;2;NAIALA;5616;15
662;2;OMAIMA;11037;15
663;2;IREA;12418;15
664;2;DOHA;19710;15
665;2;ARA;11987;15
666;2;KEILA;5600;15
667;2;ANUK;12915;15
668;2;GOIZALDE;2050;14
669;2;INSAF;8629;14
670;2;AINE;8843;14
671;2;EHARI;5606;14
672;2;RIHAB;8660;14
673;2;DARA;7924;14
674;2;FATOU;8881;14
675;2;LAURA MARIA;8698;14
676;2;ILLARE;3228;14
677;2;IDOYA;6375;14
678;2;DORLETA;7923;14
679;2;GENTZANE;5613;14
680;2;DANIA;6549;14
681;2;ASIA;10945;14
682;2;SABINA;10966;14
683;2;AINTZIRA;11965;13
