;sexe;prenom;nombre
505;1;GANEKO;17
506;1;KELIAN;17
507;1;ILLAN;16
508;1;VICENTE;16
509;1;ROQUE;16
510;1;ARNAU;16
511;1;NAEL;16
512;1;ADNAN;16
513;1;GARTZEN;16
514;1;ILLART;16
515;1;ENOL;16
516;1;JUAN DIEGO;15
517;1;BIKENDI;15
518;1;KOLDOBIKA;15
519;1;LEON;15
520;1;JUAN BOSCO;15
521;1;ARNAITZ;15
522;1;BASTIAN;15
523;1;MIKEL AINGERU;15
524;1;HUR;15
525;1;ANUK;15
526;1;URAITZ;15
527;1;ADONAY;15
528;1;ANDIMA;15
529;1;URTATS;15
530;1;ANGE;14
531;1;ALESSANDRO;14
532;1;IGARKI;14
533;1;ARIEL;14
534;1;NADIR;14
535;1;ISAIAS;14
536;1;SOHAIB;14
537;1;ELIER;14
538;1;IAKES;14
539;1;BERNAT;14
540;1;ABDERRAHMAN;14
541;1;WASSIM;14
542;1;ADONAI;14
543;1;TELLO;14
544;1;MATEI;13
545;1;ASEL;13
546;1;SALVADOR;13
547;1;MOHAMED ALI;13
548;1;NAHUEL;13
549;1;JAYDEN;13
550;1;LORENZO;13
551;1;HASIER;13
552;1;ARGOITZ;13
553;1;ANASS;13
554;1;ABDELLAH;13
555;1;IRKUS;12
556;1;XAN;12
557;1;OSAMA;12
558;1;JOSE ANGEL;12
559;1;ADRIEL;12
560;1;FABIAN;12
561;1;JON IMANOL;12
562;1;ELOI;12
563;1;JOSEBA ANDONI;12
564;1;STEVEN;12
565;1;TAHA;12
566;1;LIAN;12
567;1;NASSIM;12
568;1;CLAUDIO;12
569;1;IURI;12
570;1;BRANDON;12
571;1;YON;12
572;1;ADIRAN;12
573;1;BRAHIM;12
574;1;UNATZ;12
575;1;YASER;11
576;1;JUAN IGNACIO;11
577;1;CAYETANO;11
578;1;CARLOS JAVIER;11
579;1;JONAN;11
580;1;AIRAM;11
581;1;YANIS;11
582;1;JUAN ANDRES;11
583;1;MARIANO;11
584;1;YASIR;11
585;1;XIAN;11
586;1;ROMEO;11
587;1;LUIS FERNANDO;11
588;1;ABDULLAH;11
589;1;KENNETH;11
590;1;RIYAD;11
591;1;SUGAR;11
592;1;RICHARD;11
593;1;ISLAM;11
594;1;HEREN;11
595;1;ARIAN;10
596;1;IZAR;10
597;1;ARAITZ;10
598;1;LAIN;10
599;1;IREBER;10
600;1;ALESANDER;10
601;1;PATRICK;10
602;1;BELATZ;10
603;1;GIOVANNI;10
604;1;XEBER;10
605;1;MAHER;10
606;1;GARAI;9
607;1;ERNESTO;9
608;1;MAROUAN;9
609;1;DANTE;9
610;1;XAVI;9
611;1;UZTARITZ;8
612;1;WILLIAM;8
613;1;XIMUN;8
614;1;ULISES;8
615;1;OWEN;8
616;1;YEREMI;8
617;1;ZUNBELTZ;8
618;1;IMAD;8
619;1;ERIZ;8
620;1;JESUS MARIA;8
621;1;ISAI;8
622;1;MATTHEW;8
623;1;MEHDI;8
624;1;KARLOS;8
625;1;MIKELATS;8
626;1;FALLOU;8
627;1;GUSTAVO;8
628;1;AYAN;8
629;1;AITZ;8
630;1;DILAN;8
631;1;ELEAZAR;7
632;1;IBRAHIMA;7
633;1;JON JOSEBA;7
634;1;SALMAN;7
635;1;JOHN ANDER;7
636;1;ABDOULAYE;7
637;1;SOUFIAN;7
638;1;IZORTZ;7
639;1;ADI;7
640;1;IREN;7
641;1;IMRANE;7
642;1;AHMAD;7
643;1;HERNAN;7
644;1;AIHEN;7
645;1;HAYTAM;7
646;1;HARITZA;7
647;1;UGUTZ;7
648;1;GABIREL;7
649;1;FERMIN JAVIER;7
650;1;URRITZ;7
651;1;AYMEN;7
652;1;JUAN LUIS;7
653;1;NIL;7
654;1;MANASES;7
655;1;KYLIAN;7
656;1;PABLO JAVIER;7
657;1;NABAR;7
658;1;RAMSES;6
659;1;FRANCISCO JOSE;6
660;1;ENDAITZ;6
661;1;ESTANISLAO;6
662;1;EUKENI;6
663;1;MILAN;6
664;1;FEDERICO;6
665;1;KILLIAN;6
666;1;GOAR;6
667;1;EITHAN;6
668;1;MIKEL ANDONI;6
669;1;IKER ALEXANDER;6
670;1;ILYASS;6
671;1;IOAN;6
672;1;LUKE;6
673;1;EMIR;6
674;1;DYLAN ALEXANDER;6
675;1;IULIAN;6
676;1;ANTHONY;6
677;1;NEGU;6
678;1;ZIAD;6
679;1;NATANAEL;6
680;1;ALEXANDRU;6
681;1;YOUCEF;6
682;1;ANDREW;6
683;1;AREN;6
684;1;MUSA;6
685;1;YANNICK;6
686;1;CARMELO;6
687;1;CRISTIAN DAVID;6
688;1;DAREK;6
689;1;DAVID ANDREI;6
690;1;XOAN;6
691;1;TAREK;6
692;1;JADEN;6
693;1;JAD;6
694;1;SAFWAN;6
695;1;ABDELKADER;6
696;1;JOSE DANIEL;6
697;1;JUAN MIGUEL;6
698;1;JON KEPA;6
699;1;LOUAY;6
700;1;JOSETXO;6
701;1;JACOBO;6
702;1;JESUS JAVIER;6
703;1;LEVI;6
704;1;JON INAKI;6
705;1;KHALIL;6
706;1;JOSE CARLOS;5
707;1;CARLOS MANUEL;5
708;1;CALEB;5
709;1;JUAN FRANCISCO;5
710;1;XUMAI;5
711;1;PEDRO JOSE;5
712;1;DAREN;5
713;1;JOSE ALBERTO;5
714;1;MUSTAFA;5
715;1;DEI;5
716;1;DIMITAR;5
717;1;XENKI;5
718;1;DORIAN;5
719;1;EBER;5
720;1;EGAN;5
721;1;AZIBAR;5
722;1;ARTZAI;5
723;1;LEANDRO;5
724;1;AURKEN;5
725;1;NEYZAN;5
726;1;ADOLFO;5
727;1;KHADIM;5
728;1;NATXO;5
729;1;KARAM;5
730;1;NASSER;5
731;1;ALEXANDRO;5
732;1;YULEN;5
733;1;JUSTIN;5
734;1;AMINE;5
735;1;AMMAR;5
736;1;JURGEN;5
737;1;ROBIN;5
738;1;ANES;5
739;1;ANGEL MARIA;5
740;1;ANTONIO DAVID;5
741;1;YEIKO;5
742;1;ANUAR;5
743;1;ROI;5
744;1;EGOR;5
745;1;MOSAAB;5
746;1;XABIER MIKEL;5
747;1;THOMAS;5
748;1;HANOT;5
749;1;JERAY;5
750;1;MICHEL;5
751;1;UDAY;5
752;1;JAN;5
753;1;HELDER;5
754;1;MARTXELO;5
755;1;MARCO ANTONIO;5
756;1;IKER JAVIER;5
757;1;NIKOLAY;5
758;1;ELAI;5
759;1;MARCELO;5
760;1;INAXIO;5
761;1;SOFIAN;5
762;1;JACOB;5
763;1;LUIS ALEJANDRO;5
764;1;ISHAQ;5
765;1;ISSEY;5
766;1;ITZEL;5
767;1;SOUHAIL;5
768;1;MIKEL XABIER;5
769;1;GONZAGA;5
770;1;SANTOS;5
771;1;OTMAN;5
772;1;IZHAN;5
773;1;ELLANDE;5
774;1;LOGAN;5
775;1;JON AINGERU;5
776;1;ENEKOITZ;5
777;1;MOHAMMED AMIN;5
778;1;VICTOR MANUEL;5
779;1;EUGENIO;5
780;1;VALENTINO;5
781;1;JOHAN;5
782;1;EYDAN;5
783;1;MOHAMED AMIR;5
784;1;FAROUK;5
785;1;LUAN;5
786;1;OTHMAN;5
787;1;FIRAS;5
788;1;FRAN;5
789;1;SANTI;5
790;1;JESUS ANGEL;5
791;1;FRANCISCO ASIS;5
