;sexe;prenom;dpt;nombre
604;1;ALEXI;64;3
605;1;ALONZO;64;3
606;1;AMBROISE;64;3
607;1;ANDERSON;64;3
608;1;ANTONI;64;3
609;1;AYMANE;64;3
610;1;BATISTE;64;3
611;1;BILEL;64;3
612;1;BILLY;64;3
613;1;CAMILO;64;3
614;1;CHAYTON;64;3
615;1;CHRIS;64;3
616;1;CHRISTIAN;64;3
617;1;CONSTANTIN;64;3
618;1;CYPRIEN;64;3
619;1;DANNY;64;3
620;1;DANY;64;3
621;1;DARIUS;64;3
622;1;DEAN;64;3
623;1;JIBRIL;64;3
624;1;JOEL;64;3
625;1;ROBINSON;64;3
626;1;NIELS;64;3
627;1;MANOLO;64;3
628;1;MARIO;64;3
629;1;MARWANE;64;3
630;1;MATEI;64;3
631;1;MATI;64;3
632;1;MATTHEO;64;3
633;1;MAXANCE;64;3
634;1;MICHEL;64;3
635;1;NAHEL;64;3
636;1;NATHANIEL;64;3
637;1;NUNO;64;3
638;1;JOEY;64;3
639;1;OLIVER;64;3
640;1;OYAN;64;3
641;1;OYHAN;64;3
642;1;PACOME;64;3
643;1;PANTXO;64;3
644;1;PIERRE-LOUIS;64;3
645;1;RAMUNTXO;64;3
646;1;REDA;64;3
647;1;RENAUD;64;3
648;1;RICHARD;64;3
649;1;MANOE;64;3
650;1;MANI;64;3
651;1;MAILO;64;3
652;1;MAHER;64;3
653;1;JOHANN;64;3
654;1;JONAH;64;3
655;1;KAMIL;64;3
656;1;KELYAN;64;3
657;1;KENDJI;64;3
658;1;KENNY;64;3
659;1;KERYAN;64;3
660;1;ABDALLAH;64;3
661;1;KYLE;64;3
662;1;KYLIANN;64;3
663;1;LENI;64;3
664;1;LEO-PAUL;64;3
665;1;LEONARDO;64;3
666;1;LIONEL;64;3
667;1;LOANN;64;3
668;1;LOHANN;64;3
669;1;LOUCA;64;3
670;1;LOWEN;64;3
671;1;LUKE;64;3
672;1;LYLIAN;64;3
673;1;MACEO;64;3
674;1;ZYED;64;3
